3000,60000,48,100
985,18714,14,93
1000,60000,48,30
988,18384,14,94
3000,20000,48,30
947,19762,14,97
3000,60000,100,30
920,19521,14,96
3000,60000,48,30
994,18510,15,97
3000,60000,48,30
999,19713,15,93
3000,60000,48,30
957,19490,14,96
3000,60000,48,30
980,18694,14,92
3000,60000,16,100
942,19000,14,98
3000,60000,48,100
959,19491,15,96
1361,27526,19,45
1452,27176,24,45
1460,27974,24,49
1494,27559,20,49
1456,29511,24,47
1402,28113,19,50
1401,28299,19,48
1373,29806,22,47
1439,29631,24,49
1354,28207,21,49
